Patience,Creativity,Active,Observation,Curiosity,Persistence,Analytical,Social,Nature,Outdoorsy
85,75,25,75,30,45,35,25,49,50
54,60,30,65,25,65,40,25,20,15
70,55,50,55,39,70,35,67,35,20
55,65,45,70,70,65,65,75,39,5
65,75,60,75,25,64,35,47,65,63
80,85,57,80,30,55,55,40,45,36
75,55,30,74,35,65,45,45,80,20
90,45,45,85,53,90,55,35,45,45
63,35,45,90,50,30,80,85,70,20
58,36,69,75,35,70,50,30,50,45
65,65,35,60,50,70,55,25,49,90
60,45,75,30,52,45,25,50,45,30
70,34,70,60,55,58,70,15,15,65
68,51,20,55,45,25,45,15,75,54
32,31,20,31,75,55,30,20,65,33
75,65,15,25,75,80,35,15,57,15
30,50,20,60,73,75,64,25,85,15
75,60,35,63,55,51,40,15,51,85
70,55,25,60,55,75,51,20,15,10
70,60,71,65,85,70,80,85,52,25
65,45,80,55,45,48,40,15,35,60
20,20,40,20,75,75,20,25,20,5
85,85,65,85,15,80,35,35,25,20
64,64,20,10,25,65,20,45,50,55
65,35,45,50,75,65,55,20,15,30
68,20,30,40,50,60,70,80,90,90
25,35,45,72,65,74,85,55,5,15
50,60,70,80,90,90,12,20,30,40
75,85,95,5,15,25,35,45,55,65
90,15,35,55,75,95,20,51,43,80
5,63,45,65,85,10,63,50,70,90
20,40,74,80,36,41,35,55,75,53
45,65,85,10,30,50,70,90,20,40
70,90,10,71,50,70,90,10,30,50
51,20,40,60,40,65,25,45,65,85
60,60,20,55,70,70,50,30,25,25
60,65,52,50,75,45,55,25,20,49
48,70,56,61,25,50,35,20,45,10
65,65,57,55,75,65,55,20,35,59
70,35,50,55,80,50,55,20,61,15
65,45,50,50,45,65,45,25,65,25
65,46,80,60,39,35,55,20,15,90
60,45,45,50,75,20,55,20,69,10
15,25,20,15,85,65,65,20,15,35
85,95,20,85,65,70,55,20,45,20
10,64,20,10,45,85,35,20,25,5
85,75,35,65,35,67,60,30,50,25
21,52,51,75,65,65,35,25,45,20
70,68,75,65,45,80,60,30,50,15
55,70,35,20,65,80,80,50,34,60
45,65,35,65,75,90,60,50,10,35
58,75,35,46,55,20,80,33,49,40
65,35,46,70,25,75,68,30,50,25
85,75,25,65,85,80,45,20,70,75
55,80,35,95,55,80,51,30,50,25
85,75,20,50,63,75,72,80,57,90
75,65,35,65,62,80,60,30,32,15
65,45,85,66,80,45,30,90,50,25
65,50,68,75,67,45,50,45,55,68
35,55,25,85,35,45,50,85,45,35
40,52,45,35,20,66,60,45,49,20
60,50,55,56,68,53,59,39,50,45
25,72,25,60,35,35,65,54,35,15
65,75,35,45,20,40,50,45,55,20
90,65,71,60,45,65,80,65,35,50
15,61,80,60,45,80,70,15,35,15
65,25,25,45,55,45,45,25,25,80
60,34,55,55,65,25,51,70,60,25
10,90,25,65,53,75,48,90,80,30
35,45,90,75,85,45,40,10,35,85
50,45,25,35,35,60,56,60,40,50
55,75,10,70,59,55,65,95,45,35
65,35,60,45,45,15,70,60,48,50
60,45,30,70,72,60,65,50,65,20
75,45,25,55,75,45,70,25,45,35
57,65,40,25,35,56,57,60,25,85
65,61,71,70,58,10,65,52,45,25
95,50,45,35,55,60,75,55,65,50
65,45,25,55,45,75,70,45,50,20
10,50,15,70,70,60,35,43,37,15
62,63,25,65,50,55,55,60,36,61
25,25,51,75,40,25,53,85,55,45
75,40,35,55,65,45,25,30,75,65
